A000028,A000244,A000319,A000342,B000010,B000046,B000111,B000145,B000417,B000460,B000499,B000614,B000634,B000823,B000916,B000941,B001045,B001055,B001089,B001208,B001215,C000133,C000138,C000338,C000440,C000684,C000769,D000111,D000339,D000410,D000518,E000112,F000354,G000131,G000141,G000158,G000205,G000232,G000391,G000418,G000519,H000031,H000265,H000334,H000385,H000543,H000598,H000646,H000749,H000926,J000127,J000140,K000216,L000005,L000198,L000284,L000394,L000404,L000409,L000514,M000088,M000293,M000308,M000447,M000499,M000583,M000738,M000787,M000800,M000893,M001108,N000023,N000139,N000176,O000088,O000146,P000218,P000372,P000430,R000006,R000099,R000179,R000347,R000536,S000157,S000160,S000337,S000369,S000506,S000530,S000848,T000164,T000177,T000335,T000387,T000446,V000025,V000050,W000021,W000097,W000330,W000396,date,isAmendment,requires,result,title
Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Present,Nay,Nay,Nay,Yea,Present,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Present,,,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,,Present,Nay,Nay,Nay,Nay,Yea,Nay,,Nay,Nay,Yea,Nay,Yea,Present,Nay,Nay,Not Voting,Not Voting,Yea,1937-08-17,0,,unknown,
Yea,Yea,Yea,Nay,,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Present,Yea,Yea,Yea,Nay,Present,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Present,,,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,1937-08-17,0,,unknown,
Yea,Yea,Not Voting,Nay,,Yea,Yea,Nay,,Yea,,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Yea,Present,Present,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,,,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Not Voting,,Yea,Nay,Nay,Yea,Nay,,Yea,,Nay,Nay,Present,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,1937-11-18,0,,unknown,
Yea,Nay,Nay,Yea,,Yea,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Present,,Present,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,,,Not Voting,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Yea,Nay,Nay,Nay,Not Voting,,Nay,,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,1937-12-07,0,,unknown,s2787
Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,,Nay,,Not Voting,Yea,Present,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Present,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Present,,Present,Nay,Present,Nay,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Present,Nay,Yea,Nay,Yea,Nay,Nay,Yea,,,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Present,,Nay,,Yea,Yea,Nay,Nay,Not Voting,,Nay,,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,1937-12-08,0,,unknown,s2787
Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,,Yea,,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Present,,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,,,Nay,,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Yea,,Yea,,Present,Not Voting,Nay,Nay,Present,,Yea,,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,1937-12-09,0,,unknown,s2787
Nay,Yea,Nay,Yea,,Yea,Nay,Nay,,Nay,,Nay,Yea,Present,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Present,,Nay,Nay,Yea,Present,Nay,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Present,,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,1937-12-10,0,,unknown,s2787
Yea,Yea,Not Voting,Yea,,Yea,Nay,Nay,,Nay,,Not Voting,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,,Nay,,Yea,Nay,Nay,Nay,Not Voting,,Yea,,Nay,Nay,Yea,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,1937-12-14,0,,unknown,s2787
Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Present,,Nay,Nay,Yea,Nay,Nay,Not Voting,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Present,,Nay,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,1937-12-14,0,,unknown,s2787
Yea,Not Voting,Not Voting,Yea,,Yea,Nay,Nay,,Nay,,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Present,Yea,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,1937-12-14,0,,unknown,s2787
Nay,Yea,Yea,Nay,,Nay,Yea,Yea,,Yea,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Nay,,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,,,Yea,,Yea,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,1937-12-15,0,,unknown,s2787
Yea,Not Voting,Yea,Yea,,Yea,Yea,Present,,Nay,,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Present,Yea,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Present,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Present,Yea,Present,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,,,Nay,,Yea,Nay,Not Voting,Present,Yea,Nay,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Nay,Nay,Yea,Present,,Not Voting,,Yea,Not Voting,Not Voting,Yea,Not Voting,Present,Not Voting,Yea,Present,Yea,Yea,1937-12-15,0,,unknown,s2787
Nay,Nay,Nay,Yea,,Not Voting,Nay,Nay,,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Present,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Present,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,,Yea,,Yea,Nay,Nay,Nay,Present,,Nay,,Nay,Yea,Yea,Yea,Nay,Present,Nay,Nay,Yea,Not Voting,Yea,1937-12-16,0,,unknown,s2787
Yea,Not Voting,Not Voting,Yea,,Nay,Nay,Nay,,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Present,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Present,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,1937-12-16,0,,unknown,s2787
Yea,Nay,Nay,Yea,,Nay,Yea,Nay,,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,,Nay,Yea,Yea,Nay,Nay,Nay,Nay,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,,Nay,,Nay,Yea,Not Voting,Nay,Yea,,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,1937-12-16,0,,unknown,s2787
Nay,Nay,Nay,Yea,,Not Voting,Yea,Nay,,Nay,,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Present,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Present,,Present,Nay,Yea,Yea,Nay,Nay,Nay,,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,,,Nay,,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,Nay,,Nay,Nay,Not Voting,Nay,Present,,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Not Voting,1937-12-16,0,,unknown,s2787
Nay,Yea,Yea,Nay,,Not Voting,Yea,Yea,,Yea,,Nay,Yea,Nay,Not Voting,Nay,Nay,Present,Nay,Nay,Yea,Present,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Not Voting,Present,,Not Voting,Nay,Nay,Yea,Yea,Yea,Nay,,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,,,Not Voting,,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Nay,,Yea,,Yea,Nay,Not Voting,Yea,Present,,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,1937-12-16,0,,unknown,s2787
Yea,Yea,Yea,Nay,,Yea,Yea,Yea,,Yea,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,,Yea,Nay,Nay,Yea,Yea,Yea,Yea,,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,,,Yea,,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,,Yea,Nay,Nay,Yea,Nay,,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,1937-12-17,0,,unknown,s2787
Nay,Yea,Yea,Yea,,Nay,Nay,Nay,,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,,Yea,Nay,Nay,Nay,Not Voting,,Nay,,Nay,Yea,Yea,Present,Yea,Yea,Nay,Nay,Nay,Yea,Yea,1937-12-17,0,,unknown,s2787
Nay,Nay,Nay,Yea,,Nay,Nay,Nay,,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Not Voting,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,,,Nay,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,,Yea,Nay,Nay,Nay,Yea,,Nay,,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Not Voting,Yea,Nay,Yea,1937-12-17,0,,unknown,s2787
Yea,Yea,Yea,Nay,,Nay,Yea,Yea,,Yea,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,,,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,,Nay,Yea,Yea,Yea,Nay,,Yea,,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,1937-12-17,0,,unknown,s2787
Nay,Yea,Nay,Yea,,Nay,Yea,Yea,,Not Voting,,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Present,,Yea,Not Voting,Nay,Present,Yea,Yea,,,Yea,Nay,Not Voting,Yea,Present,Nay,Yea,Not Voting,Present,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,,,Yea,,Yea,Nay,Nay,Yea,Yea,Present,Yea,Yea,Yea,Nay,,Not Voting,,Yea,Yea,Nay,Yea,Not Voting,,Not Voting,,Yea,Not Voting,Present,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,1937-12-21,0,,unknown,hr8730
Yea,Not Voting,Not Voting,Yea,,Nay,Yea,Yea,,Not Voting,,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Not Voting,Present,,Yea,Not Voting,Yea,Present,Nay,Yea,,,Yea,Yea,Not Voting,Yea,Present,Nay,Yea,Not Voting,Present,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,,Nay,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,,Yea,,Nay,Yea,Nay,Yea,Not Voting,,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Present,Yea,Yea,Yea,Yea,Not Voting,1937-12-21,0,,unknown,hr8730
Yea,Yea,Yea,Yea,,Yea,Yea,Yea,,Not Voting,,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,,Yea,Not Voting,Nay,Not Voting,Not Voting,Present,Yea,Yea,Yea,Yea,Not Voting,1937-12-21,0,,unknown,hr8730
