A000028,A000062,A000244,A000342,B000046,B000099,B000111,B000132,B000145,B000460,B000614,B000816,B000823,B000874,B000941,B001055,B001061,B001150,B001177,B001208,B001215,C000133,C000138,C000290,C000338,C000428,C000440,C000684,D000025,D000111,D000469,D000480,E000018,E000112,G000131,G000141,G000205,G000232,G000418,G000519,G000532,H000265,H000334,H000385,H000543,H000598,H000731,H000821,H000926,J000127,J000140,K000176,L000005,L000070,L000198,L000394,L000493,L000510,M000088,M000279,M000308,M000438,M000499,M000583,M000615,M000738,M000771,M001082,M001108,N000023,N000030,N000139,N000176,O000034,O000088,O000146,P000159,P000218,R000006,R000112,R000179,R000443,R000536,S000157,S000337,S000369,S000381,S000506,S000530,S000724,S000901,T000009,T000164,T000172,T000177,T000289,T000387,T000409,T000446,V000025,V000050,W000021,W000088,W000097,W000330,W000396,W000465,W000563,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,,Yea,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,,,Yea,Yea,,,Yea,Nay,,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,,Yea,Yea,,Nay,,Not Voting,Not Voting,,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Not Voting,1941-10-23,0,,unknown,hr5788,,,,
Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,,Yea,Nay,Nay,Yea,Nay,,,Present,Nay,,,Nay,Yea,,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,,Yea,,Nay,Yea,,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,1941-11-07,0,,unknown,hjres237,,,,
Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,,,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,,Yea,,Yea,Nay,Nay,Yea,Nay,,,Present,Nay,,,Nay,Yea,,Nay,Nay,,Nay,Nay,Not Voting,Not Voting,,Nay,Nay,,Yea,,Nay,Yea,,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,1941-11-07,0,,unknown,hjres237,,,,
Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Yea,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,,Nay,Nay,Yea,Nay,Nay,,,Nay,Nay,,,Nay,Nay,,Yea,Nay,,Not Voting,Nay,Not Voting,Not Voting,,Nay,Nay,,Nay,,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,1941-11-07,0,,unknown,hjres237,,,,
Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,,Nay,Yea,Yea,Nay,Yea,,,Present,Yea,,,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,,Nay,,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,1941-11-07,0,,unknown,hjres237,,,,
Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,,,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,,Nay,,Nay,Yea,Yea,Nay,Yea,,,Present,Yea,,,Yea,Nay,,Yea,Yea,,Not Voting,Yea,Not Voting,Not Voting,,Yea,Yea,,Nay,,Yea,Nay,,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,1941-11-07,0,,unknown,hjres237,,,,
,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Yea,Yea,Yea,,,Yea,Yea,,,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Not Voting,,Yea,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,1941-12-08,0,,unknown,sjres116,,,,
,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Present,Nay,Present,Yea,Nay,Nay,Yea,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Present,Yea,Nay,Nay,,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Not Voting,,Not Voting,Not Voting,Yea,Nay,Yea,,,Yea,Yea,,,Nay,Nay,,Yea,Yea,,Nay,Yea,Yea,Yea,,Not Voting,Yea,,Yea,,Present,Not Voting,,Not Voting,Yea,Yea,Present,Yea,Nay,Not Voting,Yea,Not Voting,Present,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,1941-12-10,0,,unknown,hr5945,,,,
,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,,,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,1941-12-11,0,,unknown,sjres119,,,,
,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,,,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,1941-12-11,0,,unknown,sjres120,,,,
,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,,,Yea,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,,Yea,Yea,,Yea,,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,1941-12-11,0,,unknown,sjres117,,,,
,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Yea,Nay,,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,Yea,,Yea,Yea,Nay,Nay,Yea,,,Yea,Yea,,,Nay,Yea,,Yea,Yea,,Yea,Nay,Not Voting,Yea,,Yea,Yea,,Yea,,Not Voting,Yea,,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Nay,1941-12-12,0,,unknown,hr6159,,,,
,Nay,Not Voting,Not Voting,Not Voting,,Yea,Present,Present,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,Not Voting,Yea,Yea,Nay,Nay,,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,,Yea,,Nay,Yea,Nay,Nay,Nay,,,Nay,Nay,,,Nay,Yea,,Not Voting,Nay,,Nay,Yea,Not Voting,Not Voting,,Yea,Nay,,Not Voting,,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,1941-12-16,0,,unknown,hr6128,,,,
,Nay,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,,Yea,,Yea,Yea,Nay,Nay,Nay,,,Nay,Nay,,,Nay,Yea,,Not Voting,Nay,,Nay,Yea,Yea,Not Voting,,Yea,Nay,,Yea,,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,1941-12-16,0,,unknown,hr6128,,,,
,Yea,Not Voting,Not Voting,Not Voting,,Yea,Present,Present,Nay,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Yea,,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,,,Nay,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Yea,,Nay,Yea,Yea,Nay,Nay,Not Voting,Nay,Nay,Nay,,Yea,,Nay,Yea,Nay,Nay,Nay,,,Nay,Nay,,,Nay,Yea,,Not Voting,Nay,,Nay,Yea,Yea,Not Voting,,Yea,Nay,,Nay,,Nay,Yea,,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,1941-12-16,0,,unknown,hr6128,,,,
,Yea,Not Voting,Yea,Not Voting,,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Present,Yea,Nay,Yea,Yea,Yea,Yea,Nay,,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,,,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,,Yea,,Yea,Nay,Yea,Yea,Yea,,,Not Voting,Nay,,,Yea,Nay,,Not Voting,Yea,,Nay,Nay,Not Voting,Yea,,Nay,Nay,,Not Voting,,Nay,Not Voting,,Yea,Yea,Present,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,1941-12-17,0,,unknown,hr5558,,,,
,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Present,Yea,Nay,Yea,Nay,Nay,Yea,Nay,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Not Voting,,,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,,Yea,Nay,Nay,Nay,Nay,,,Nay,Nay,,,Yea,Yea,,Nay,Nay,,Nay,Yea,Yea,Nay,,Nay,Nay,,Not Voting,,Not Voting,Not Voting,,Yea,Yea,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,1941-12-18,0,,unknown,s2126,,,,
,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,,,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Yea,Yea,Nay,Nay,,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,,Yea,,Yea,Yea,Nay,Present,Nay,,,Nay,Nay,,,Yea,Yea,,Nay,Nay,,Nay,Yea,Nay,Nay,,Yea,Nay,,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,Yea,Yea,1941-12-18,0,,unknown,s2126,,,,
,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Yea,Yea,,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,,,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Nay,,Yea,,Yea,Nay,Nay,Nay,Nay,,,Nay,Nay,,,Yea,Yea,,Nay,Nay,,Nay,Yea,Not Voting,Nay,,Nay,Nay,,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,1941-12-18,0,,unknown,s2126,,,,
,,Not Voting,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,,,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,,Yea,Yea,Yea,Yea,Yea,,,Yea,Yea,,,Yea,Yea,,Yea,Yea,,Yea,Yea,Not Voting,Yea,,Yea,Yea,,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,1941-12-18,0,,unknown,hr6215,,,,
